Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
64 GB,VGA - HDMI - DP - COM,,,,,6 inç ve üstü,Nvidia GeForce GTX 1660 SUPER,GDDR5,8 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,512 GB,Yok,Oyun,,,Yok,,500 W ve üstü,32 GB,DDR4,,512 GB,,LGA 1700,2.5,1920 x 1080,,2.50 GHz - 3.00 GHz,12400F,12. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//biggamex/ck37-i5-12400f-32gb-ram-512gb-nvme-m-2-ssd-rx580-8gb-masaustu-oyuncu-bilgisayari-p-773801042?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wOTAzOTg2Mjg5MDM0NzgzNCwiYWRTY29yZSI6MC4wMzkzMDU4MDI0MzQ2ODI4NDYsImFkU2NvcmVzIjp7IjEiOjAuMDM5MzA1ODAyNDM0NjgyODQ2LCIyIjowLjAzOTMwNTgwMjQzNDY4Mjg0Nn0sImNwYyI6Mi4yOTk4Nzk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4yOTk4Nzk5OTk5OTk5OTksImFkdmVydFNsb3QiOjI1LCJvcmRlciI6Mywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,16.249 TL
16 GB,Wi-Fi,,,2 - 4 kg,,"24"" / 61 Ekran",Nvidia GT730,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,240 GB,240,RGB,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,,,240 GB,,,2.8,1920 x 1080,Full HD (FHD),3.00 GHz üstü,860,1. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//zeiron/sx75-plus-i7-860-16gb-240gb-gt730-24-dual-curved-oyuncu-masaustu-bilgisayar-p-289910094?boutiqueId=61&merchantId=127037,13.452 TL
,Bluetooth,,,2 kg ve Altı,Var,"11,6 inç",Intel UHD Graphics,DDR4,1 GB,Dahili,90 Hz,,3 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,Yok,IPS,,8 GB,DDR4,Siyah,64 GB,,,,1366 x 768,Full HD (FHD),,N4120,12. Nesil,Intel Celeron,2,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/spin-511-r752t-c5y6-intel-celeron-n4120-8-gb-ram-64-gb-ssd-11-6-uhd-katlanabilir-dokunmatik-p-462324895?boutiqueId=626264&merchantId=234804,"8.394,90 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/macbook-air-13-m1-8gb-256gb-ssd-altin-p-67940132?boutiqueId=61&merchantId=436484,27.399 TL
16 GB,,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,,Yok,RGB,Oyun,,Üniversite,Yok,,350 - 500 W,16 GB,DDR3,,512 GB,,,,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/gm54-i5-3470-16gb-ram-512gb-ssd-4gb-gt730-23-8-oyuncu-masaustu-bilgisayari-p-462208473?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wOTAzNjY0NTU2NjUwODE3LCJhZFNjb3JlIjowLjA0MDgzODc5NjY0NTQwMjkxLCJhZFNjb3JlcyI6eyIxIjowLjA0MDgzODc5NjY0NTQwMjkxLCIyIjowLjA0MDgzODc5NjY0NTQwMjkxfSwiY3BjIjoyLjIxMjc1OTk5OTk5OTk5OSwibWluQ3BjIjowLCJlQ3BjIjoyLjIxMTM0NTA0MjQxODQ0NSwiYWR2ZXJ0U2xvdCI6MjYsIm9yZGVyIjo3LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,9.949 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/250-g8-i5-1135g7-16gb-ssd-512gb-ssd-853u8es128-w10pro-15-6-full-hd-tasinabilir-bilgisayar-canta-p-749804673?boutiqueId=61&merchantId=109354,15.299 TL
,,,,2 - 4 kg,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,,,,8 GB,LPDDR5,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//hp/15-fc0003nt-amd-ryzen-3-7320u-8-gb-256-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6e7ea-p-649568573?boutiqueId=61&merchantId=107301,9.469 TL
8 GB,Mini HDMI,,,2 kg ve Altı,Yok,"13,6 inç",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,Yok,,,8 GB,DDR5,Gümüş,256 GB,,,3.3,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gumus-p-356763066?boutiqueId=61&merchantId=624588,34.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/gx60-intel-i5-3470-16gb-1tb-hdd-128gb-ssd-rx550-24-oyuncu-masaustu-bilgisayari-p-43689314?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODk0OTE4ODcwMTgwODQ1NCwiYWRTY29yZSI6MC4wNTY4NTM4ODY2OTM3MTYwNSwiYWRTY29yZXMiOnsiMSI6MC4wNTY4NTM4ODY2OTM3MTYwNSwiMiI6MC4wNTY4NTM4ODY2OTM3MTYwNX0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MjcsIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,12.449 TL
,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.5,,Yok,IPS,,8 GB,DDR5,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-r5-6600h-8gb-512gb-ssd-rtx3050-dos-15-6-fhd-nh-qgxey-001-canta-ve-mouse-p-362203628?boutiqueId=61&merchantId=106740,22.799 TL
64 GB,HDMI,,,4 kg ve Üstü,,"24"" / 61 Ekran",AMD Radeon RX 580,DDR4,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,DDR4,Siyah,512 GB,,,4,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10400F,10. Nesil,Intel Core i5,6,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//izoly/witcher-i5-10400f-4-30-16gb-512gb-m2-nvme-rx580-8gb-24-oyuncu-masaustu-bilgisayari-p-79880100?boutiqueId=61&merchantId=123676,"19.255,22 TL"
,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,GDDR5,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,16 GB,DDR4,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),,12060p,13. Nesil,Intel Xeon,24,Free Dos,,https://www.trendyol.com//hp/15-6-250-g8-853u8es-core-i5-1135g7-8gb-ram-256gb-ssd-fdos-p-783403142?boutiqueId=61&merchantId=247616,12.250 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/fx50-ultra-i5-3470-16gb-1tb-hdd-256gb-ssd-gtx1650-24-oyuncu-masaustu-bilgisayar-p-310910647?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODkwNTM0NDA4MzkwNTIyMSwiYWRTY29yZSI6MC4wNTM5NzE3ODIzMjY2OTgzLCJhZFNjb3JlcyI6eyIxIjowLjA1Mzk3MTc4MjMyNjY5ODMsIjIiOjAuMDUzOTcxNzgyMzI2Njk4M30sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjE2NjY1MzgxMzYyMjY1MywiYWR2ZXJ0U2xvdCI6MjgsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,13.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn193-amd-ryzen-7-6800h-16gb-ddr5-512gb-ssd-rtx3050-15-6-fhd-144hz-dos-p-678471910?boutiqueId=61&merchantId=105919,30.649 TL
,USB,,,2 - 4 kg,Yok,"15,6 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,,,,,,4 GB,DDR4,Gri,256 GB,,,,1920 x 1080,Full HD (FHD),,1125g4,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//asus/notebook-laptop-x515ea-bq868-fhd-ekran-intel-core-i3-1115g4-islemci-intel-p-788369980?boutiqueId=61&merchantId=744677,9.900 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,4.7,,,IPS,,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1504za37-bq441a37-intel-core-i7-1255u-16gb-512gb-ssd-freedos-15-6-p-779144943?boutiqueId=61&merchantId=155616,"21.224,78 TL"
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",AMD Radeon RX 550,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,,500 GB,RGB,Oyun,,Evde Eğitim,Yok,,350 - 500 W,16 GB,,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,4570,4. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/i5-4570-16gb-ram-500gb-hdd-256gb-ssd-4gb-rx550-23-8-oyuncu-masaustu-bilgisayari-p-386097483?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODYxNzQ4Nzk3MDczOTYsImFkU2NvcmUiOjAuMDM2MTAxNzUxMDI5NDkxNDI1LCJhZFNjb3JlcyI6eyIxIjowLjAzNjEwMTc1MTAyOTQ5MTQyNSwiMiI6MC4wMzYxMDE3NTEwMjk0OTE0MjV9LCJjcGMiOjIuMzg2OTk5OTk5OTk5OTk5LCJtaW5DcGMiOjAsImVDcGMiOjIuMzg2OTk5OTk5OTk5OTk5LCJhZHZlcnRTbG90IjoyOSwib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,11.149 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,16 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-5500-bv00x-g-f-ryzen-5-5500u-16-gb-ram-500gb-nvme-ssd-freedos-p-773800526?boutiqueId=61&merchantId=129813,12.299 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0001nt-r7-7840hs-32gb-1tb-ssd-rtx4070-8gb-freedos-16-1-240-hz-qhd-notebook-7z4l9ea-p-739863315?boutiqueId=61&merchantId=106740,49.999 TL
128 GB,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,10,Free Dos,,https://www.trendyol.com//msi/nb-katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-rtx4070-gddr6-8gb-512gb-ssd-15-6-fhd-144hz-dos-p-762731708?boutiqueId=61&merchantId=106740,54.499 TL
16 GB,HDMI,,Tek Ebat,2 - 4 kg,,,Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,,Yok,,Oyun,,Üniversite,Yok,,350 - 500 W,16 GB,,,512 GB,,,3.2,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/nx11-i5-3470-16gb-ram-512gb-ssd-gtx1050ti-oyuncu-masaustu-bilgisayar-p-328896711?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODU2NTE5OTMwOTYxNzI3NiwiYWRTY29yZSI6MC4wNDAyOTQ2ODQ0Njk2OTk4NiwiYWRTY29yZXMiOnsiMSI6MC4wNDAyOTQ2ODQ0Njk2OTk4NiwiMiI6MC4wNDAyOTQ2ODQ0Njk2OTk4Nn0sImNwYyI6Mi4xMjU2Mzk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4xMjU2Mzk5OTk5OTk5OTksImFkdmVydFNsb3QiOjMwLCJvcmRlciI6MjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,9.149 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12450h-8gb-512gb-ssd-rtx3050-w11-15-6-fhd-144hz-gaming-laptop-nh-qfjey-008-p-773939031?boutiqueId=623361&merchantId=968,"23.208,76 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/fx506hf-hn028w-tuf-core-i5-11400h-islemci-8gb-ram-512gb-ssd-rtx2050-ekran-karti-15-6-win11-gaming-l-p-675771120?boutiqueId=61&merchantId=814324,23.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-8gb-512gb-ssd-freedos-15-6-fhd-notebook-82r4006ftr-p-740951341?boutiqueId=61&merchantId=836939,12.630 TL
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GT730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,,1 TB,RGB,Oyun,,Üniversite,Yok,IPS,350 - 500 W,16 GB,DDR3,,512 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/i5-3470-16gb-ram-512gb-ssd-1tb-hdd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-458311660?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODUwNjY4NDIwOTcwNDM5NiwiYWRTY29yZSI6MC4wMzY5ODc1MTMzMDM3NTY3MTQsImFkU2NvcmVzIjp7IjEiOjAuMDM2OTg3NTEzMzAzNzU2NzE0LCIyIjowLjAzNjk4NzUxMzMwMzc1NjcxNH0sImNwYyI6Mi4yOTk4Nzk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4yOTk4Nzk5OTk5OTk5OTksImFkdmVydFNsb3QiOjMxLCJvcmRlciI6Mywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,10.149 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ramtech/rk110-intel-core-i5-650-3-20ghz-8gb-ram-256gb-ssd-18-5-masaustu-bilgisayar-p-754498028?boutiqueId=626264&merchantId=187272,6.192 TL
,,,,,,22 - 24 inç,Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Yok,HDD Yok,256 GB,Q Türkçe,Oyun,,,Yok,,250 - 350 W,16 GB,DDR3,,256 GB,,,2.8,1920 x 1080,Full HD (FHD),2.50 GHz - 3.00 GHz,860,1. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//turbox/tx1143-i7-860-16gb-ram-256gb-ssd-4gb-gt730-ekran-karti-23-6-inc-masaustu-oyun-bilgisayari-p-213781056?boutiqueId=61&merchantId=107513,8.999 TL
32 GB,Wi-Fi,,,2 - 4 kg,Yok,"19"" / 48 Ekran",Belirtilmemiş,DDR3,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,1 TB,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR3,Siyah,SSD Yok,,,3.2,1366 x 768,HD Ready (HD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/gsx12-i5-3470-16gb-1tb-hdd-4gb-18-5-masaustu-oyun-bilgisayari-p-329262912?boutiqueId=626264&merchantId=127037,8.558 TL
32 GB,HDMI,,Tek Ebat,2 - 4 kg,,,Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,,1 TB,,Oyun,,Ortaokul,Yok,,500 W ve üstü,16 GB,DDR4,,256 GB,,,3.6,1920 x 1080,,3.00 GHz üstü,10100F,10. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//biggamex/ultra-intel-core-i3-10100f-geforce-gtx-1050ti-16gb-ddr4-1tb-hdd-256gb-ssd-geforce-espor-pc-p-362508504?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODUwNTA2NzIyMTY3MTMzOSwiYWRTY29yZSI6MC4wMzg0MzY0NjQ5NjUzNDM0NzUsImFkU2NvcmVzIjp7IjEiOjAuMDM4NDM2NDY0OTY1MzQzNDc1LCIyIjowLjAzODQzNjQ2NDk2NTM0MzQ3NX0sImNwYyI6Mi4yMTI3NTk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4yMTI3NTk5OTk5OTk5OTksImFkdmVydFNsb3QiOjMyLCJvcmRlciI6Nywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,12.949 TL
64 GB,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,4.7,,,VA,,32 GB,DDR4,Siyah,1 TB,,,1.7,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Linux,6 Saat ve Üstü,https://www.trendyol.com//dell/inspiron-3520-intel-core-i7-1255u-32gb-1tb-ssd-ubuntu-15-6-i35201013ua58-p-749890833?boutiqueId=61&merchantId=155616,"22.530,10 TL"
,USB,,,,,22 - 24 inç,Nvidia Geforce GT 740,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,512 GB,Q Türkçe,Oyun,,,Yok,,350 - 500 W,16 GB,DDR3,Çok Renkli,512 GB,,,3.2,1920 x 1080,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//turbox/tx3814-i5-3470-16gb-ram-512gb-m-2-nvme-4gb-gt740-gddr5-23-6-curved-cift-monitor-p-746392150?boutiqueId=61&merchantId=107513,11.499 TL
64 GB,VGA - HDMI - DP - COM,,,2 - 4 kg,,,Nvidia GeForce RTX 3060 Ti,GDDR6X,8 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,500 GB,Yok,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR4,,500 GB,Gen 4,LGA 1700,3.9,1920 x 1080,Ultra HD 4K (UHD),3.00 GHz üstü,i5 12400f,Belirtilmemiş,Intel Core i5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-oyuncu-pc-bilgisayar-masaustu-kasa-i5-12400f-rtx-3060ti-p-783908448?boutiqueId=61&merchantId=881121,"20.789,01 TL"
16 GB,Wi-Fi,,,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR3,,512 GB,,LGA 1155,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/zr50-i5-3470-16gb-ram-512gb-ssd-gtx1660-super-6gb-oyuncu-masaustu-bilgisayar-p-762209199?boutiqueId=626264&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODQ2ODUxMjY1MDU3OTIxNCwiYWRTY29yZSI6MC4wNTEzMjQzMTkwOTQ0MTk0OCwiYWRTY29yZXMiOnsiMSI6MC4wNTEzMjQzMTkwOTQ0MTk0OCwiMiI6MC4wNTEzMjQzMTkwOTQ0MTk0OH0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MzMsIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,9.383 TL
,,,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,,64 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD+,,13980HX,13. Nesil,Intel Core i9,16,Free Dos,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6079-16gb-rtx4090-13-nesil-i9-13980hx-64gb-2tb-ssd-18-qhd-240hz-p-677944043?boutiqueId=61&merchantId=118442,150.999 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Oyun,,,,IPS,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1200,WUXGA,,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//asus/vivobook-16x-k3605zc-n1013w-i5-12450h-8gb-512ssd-rtx3050-16-fullhd-w11h-tasinabilir-bilgisaya-p-753697054?boutiqueId=61&merchantId=624588,23.999 TL
