Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i5-12500h-16gb-512gb-ssd-6gb-rtx4050-dos-15-6-gaming-laptop-acer-turkiye-garanti-p-741177835?boutiqueId=61&merchantId=124563,"29.879,90 TL"
16 GB,HDMI,,,2 - 4 kg,,"24"" / 61 Ekran",Nvidia GT730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,240 GB,1 TB,RGB,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,,Siyah,240 GB,Gen 4,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/rx44-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-131386035?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4xNDEwOTM3ODc1NTA5MjYyMiwiYWRTY29yZSI6MC4wODU1MTEzODYzOTQ1MDA3MywiYWRTY29yZXMiOnsiMSI6MC4wODU1MTEzODYzOTQ1MDA3MywiMiI6MC4wODU1MTEzODYzOTQ1MDA3M30sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuMzUwMzEyNjY5OTAyODkyMiwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjExLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,10.949 TL
,Bluetooth,,,2 kg ve Altı,Yok,"13,3 inç",Dahili Ekran Kartı,DDR2,Paylaşımlı,Dahili,120 Hz,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmalı),Ev - Okul,,,,,,8 GB,DDR2,Gri,256 GB,,,Belirtilmemiş,2560 x 1600,Retina,,Belirtilmemiş,3. Nesil,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136?boutiqueId=61&merchantId=904903,27.079 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.6,,,IPS,,16 GB,DDR4,Siyah,500 GB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445?boutiqueId=61&merchantId=155603,29.999 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,4.3,,,IPS,,16 GB,LPDDR5,Altın,512 GB,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-fc0060nt-amd-ryzen-5-7520u-16gb-512gb-dos-15-6-fhd-siyah-laptop-hp-turkiye-garantili-8m1t2ea-p-761481836?boutiqueId=623361&merchantId=968,12.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//biggamex/blade-rtx11-ryzen-5-5500-32gb-ram-512gb-m-2-ssd-rx550-4gb-23-8-oyuncu-masaustu-bilgisayar-p-787218748?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4xMTM3NTY4ODM2ODYwMzU4MSwiYWRTY29yZSI6MC4wNTM1MTY1MzMyMjU3NzQ3NjUsImFkU2NvcmVzIjp7IjEiOjAuMDUzNTE2NTMzMjI1Nzc0NzY1LCIyIjowLjA1MzUxNjUzMzIyNTc3NDc2NX0sImNwYyI6Mi4xMjU2Mzk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4wNzg2NDc5MjQ0NDA4Njc1LCJhZHZlcnRTbG90Ijo0LCJvcmRlciI6MTUsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,15.899 TL
,USB,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ofis - İş,4.5,,Yok,,,8 GB,LPDDR4X,Gümüş,256 GB,,,2.5,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-256gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654278277?boutiqueId=61&merchantId=514600,14.799 TL
,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,,32 GB,DDR4,Siyah,1 TB,,,2,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761?boutiqueId=61&merchantId=114258,25.599 TL
,USB,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,Ofis - İş,,,,,,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//huawei/matebook-d15-amd-ryzen-7-5700u-16-gb-512-gb-ssd-radeon-graphics-15-6-inch-w11-home-64bit-gri-p-732708663?boutiqueId=61&merchantId=624588,19.999 TL
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,22 - 24 inç,AMD Radeon RX 550,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,,1 TB,RGB,Oyun,,Üniversite,Yok,IPS,500 W ve üstü,16 GB,,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayari-p-660626460?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4xMTAxNzE3MDg0NjQ2MjI1LCJhZFNjb3JlIjowLjA2Njc3MDczMjQwMjgwMTUxLCJhZFNjb3JlcyI6eyIxIjowLjA2Njc3MDczMjQwMjgwMTUxLCIyIjowLjA2Njc3MDczMjQwMjgwMTUxfSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,13.399 TL
