Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
15999.0,Dahili Ekran Kartı,AMD Ryzen 7,5. Nesil,5700U,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,8,Windows
15499.0,Intel Iris Graphics,Intel Core i7,11. Nesil,11390H,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,5.0,DDR4,500.0,Gen 4,,1920 x 1080,,4,Free Dos
13149.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
13879.0,AMD Radeon Graphics,AMD Ryzen 7,5. Nesil,5700U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.3,DDR4,512.0,,1.8,1920 x 1080,,8,Free Dos
15999.0,AMD Radeon Graphics,AMD Ryzen 7,7. Nesil,7730U,8.0,14 inç,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,8,Windows
8099.0,Intel UHD Graphics,Intel Celeron,4. Nesil,N4020,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,2.8,DDR4,128.0,,1.1,1920 x 1080,,2,Windows
15949.0,AMD Radeon RX 550,Intel Core i5,10. Nesil,10400F,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,,2.9,1920 x 1080,3.00 GHz üstü,6,Free Dos
24999.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12450H,16.0,"15,6 inç",GDDR6,4 GB,Harici,120 Hz,,2 Yıl,4.4,DDR4,512.0,Gen 3,3.3,1920 x 1080,,12,Free Dos
13499.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR6,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
41299.0,Nvidia GeForce RTX 4050,Intel Core i7,13. Nesil,13650HX,16.0,16 inç,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,4.9,DDR5,512.0,,2.6,1920 x 1200,,14,Free Dos
35609.0,Nvidia GeForce RTX 4060,AMD Ryzen 7,7. Nesil,7840HS,16.0,"16,1 inç",GDDR6,8 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,8,Free Dos
119499.0,AMD Radeon Graphics,AMD Ryzen 7,5. Nesil,5700U,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,8,Free Dos
151999.0,Intel XE Graphics,Intel Core i5,12. Nesil,1235U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,10,Free Dos
52299.0,M2 10 Çekirdekli,M2,Belirtilmemiş,Belirtilmemiş,16.0,"13,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,Belirtilmemiş,512.0,,,2560 x 1600,,Belirtilmemiş,Mac Os
39501.0,Intel Iris Graphics,Intel Core i5,12. Nesil,1235U,8.0,"13,3 inç",DDR4,4 GB,Dahili,60 Hz,,2 Yıl,,LPDDR4X,256.0,,,1920 x 1080,,12,Windows
284885.0,Nvidia GeForce RTX 4050,Intel Core i5,12. Nesil,550,8.0,"15,6 inç",Belirtilmemiş,12 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,16,Free Dos
18399.0,Nvidia GeForce GTX 1650,Intel Core i3,10. Nesil,10100F,16.0,22 - 24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
25999.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12450H,8.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,8,Windows
17249.0,Nvidia GeForce RTX 3050,AMD Ryzen 5,5. Nesil,Ryzen 5 5500,16.0,,GDDR6,8 GB,Harici,,,2 Yıl,,DDR4,512.0,,3.6,,3.00 GHz üstü,6,Free Dos
47499.0,Nvidia GeForce RTX 4070,AMD Ryzen 9,7. Nesil,7940HS,16.0,"15,6 inç",GDDR6,8 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,8,Free Dos
33999.0,Nvidia GeForce RTX 3050,Intel Core i7,13. Nesil,13650HX,16.0,"15,6 inç",GDDR6,6 GB,Harici,120 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,24,Free Dos
9785.0,Intel HD Graphics,Intel Core i3,11. Nesil,1115G4,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.0,DDR4,256.0,Gen 3,4,1920 x 1080,,2,Free Dos
7999.0,Nvidia GeForce GT 730M,Intel Core i5,3. Nesil,İ5-3470,16.0,"19"" / 48 Ekran",DDR3,,Nvidia GeForce GT730M,60 Hz,,,,,128.0,,3.2,1366 x 768,3.00 GHz üstü,4,Free Dos
34299.0,Nvidia GeForce RTX 3050,AMD Ryzen 7,6. Nesil,6800HS,16.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,8,Free Dos
9289.0,Intel UHD Graphics,Intel Core i3,11. Nesil,11500,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.5,DDR4,256.0,Gen 3,4,1920 x 1080,,4,Free Dos
10649.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
30499.0,Nvidia GeForce RTX 4060,Intel Core i5,12. Nesil,12500H,16.0,"15,6 inç",GDDR6,8 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,12,Free Dos
23999.0,Nvidia GeForce RTX 3050,AMD Ryzen 5,6. Nesil,6600H,16.0,16 inç,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1200,,6,Free Dos
14896.0,Dahili Ekran Kartı,AMD Ryzen 5,5. Nesil,5500U,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
10649.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
23999.0,Nvidia GeForce GTX 1650,Intel Core i5,12. Nesil,12450H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,4.4,DDR4,500.0,,2.5,1920 x 1080,,8,Windows
10949.0,Nvıdıa GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,240.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
30349.0,Nvidia GeForce RTX3060,Intel Core i5,11. Nesil,11400H,16.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,4.5,DDR4,512.0,Gen 3,,1920 x 1080,,12,Free Dos
7299.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,DDR3,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
15699.0,AMD Radeon RX 550,AMD Ryzen 5,3. Nesil,3600,32.0,"24"" / 61 Ekran",DDR4,6 GB,Dahili,75 Hz,,2 Yıl,,DDR4,512.0,,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
5999.0,Dahili Ekran Kartı,Intel Core i7,1. Nesil,860,16.0,,DDR3,4 GB,Harici,,,2 Yıl,,DDR3,240.0,,2.8,,2.50 GHz - 3.00 GHz,2,Free Dos
28999.0,Nvidia GeForce RTX 3050 Ti,Intel Core i5,11. Nesil,11300H,16.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Windows
14999.0,AMD Radeon Vega 8,AMD Ryzen 7,5. Nesil,5700U,16.0,"15,6 inç",GDDR6,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.3,DDR4,512.0,,1.8,1920 x 1080,,8,Windows
43999.0,Nvidia GeForce RTX3060,Intel Core i7,12. Nesil,12700K,32.0,25 + inç,GDDR6,12 GB,Harici,165 Hz,,2 Yıl,,DDR4,512.0,Gen 3,2.1,1920 x 1080,2.00 GHz - 2.40 GHz,12,Windows
31999.0,M1 7 Çekirdekli,Apple M1,Belirtilmemiş,Belirtilmemiş,16.0,"13,3 inç",Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,Belirtilmemiş,256.0,,Belirtilmemiş,2560 x 1600,,8,Mac Os
9499.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
38200.0,AMD,AMD Ryzen 5,Belirtilmemiş,Ryzen 5 5500,16.0,,DDR4,,Nvidia GeForce RTX3060,,,2 Yıl,,,500.0,,,,,6,Windows
11349.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
19999.0,Nvidia GeForce GTX 1650,AMD Ryzen 5,3. Nesil,3600,32.0,25 + inç,GDDR6,4 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
237668.0,Nvidia GeForce RTX 2060,Intel Core i5,10. Nesil,10400F,16.0,"24"" / 61 Ekran",GDDR6,6 GB,Harici,,,2 Yıl,,DDR4,512.0,,2.9,1920 x 1080,3.00 GHz üstü,6,Free Dos
12999.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
155999.0,Intel UHD Graphics,Intel Core i5,12. Nesil,1235U,24.0,"15,6 inç",SD,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,3.3,1920 x 1080,,10,Free Dos
14249.0,Nvidia GT730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,,,2 Yıl,,,240.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
12999.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
27999.0,Nvidia GeForce RTX3060,Intel Core i5,12. Nesil,12500H,16.0,"15,6 inç",GDDR6,6 GB,Harici,165 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,12,Free Dos
8392.0,Nvidia GT730,Intel Core i5,3. Nesil,3470,16.0,18 - 21 inç,DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,512.0,,3.2,1600 x 900,3.00 GHz üstü,4,Free Dos
10999.0,AMD Radeon Graphics,AMD Ryzen 3,7. Nesil,7320U,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,256.0,,,1920 x 1080,,4,Windows
11299.0,AMD Radeon Graphics,AMD Ryzen 5,7. Nesil,7520U,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,3 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
15699.0,Intel UHD Graphics,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,Belirtilmemiş,Windows
26849.0,Nvidia GeForce RTX 3050,AMD Ryzen 5,3. Nesil,3600,32.0,25 + inç,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,3.00 GHz üstü,6,Free Dos
13566.0,AMD Radeon Graphics,AMD Ryzen 5,11. Nesil,7520U,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,165 Hz,,2 Yıl,4.3,LPDDR5,512.0,,,1920 x 1080,,4,Windows
147420.0,Dahili Ekran Kartı,Intel Core i5,11. Nesil,1135G7,16.0,14 inç,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,6,Free Dos
25999.0,Nvidia GeForce RTX 3050 Ti,Intel Core i5,12. Nesil,12450H,16.0,"15,6 inç",GDDR6,4 GB,Harici,120 Hz,,2 Yıl,4.4,DDR4,512.0,,2,1920 x 1080,,8,Free Dos
7849.0,Nvidia GeForce GT 730,Intel Core i5,1. Nesil,İ5-650,8.0,"19"" / 48 Ekran",DDR3,4 GB,Harici,60 Hz,,2 Yıl,,DDR3,240.0,,3.2,1366 x 768,3.00 GHz üstü,4,Free Dos
28999.0,Nvidia GeForce RTX3060,AMD Ryzen 5,6. Nesil,6600H,16.0,16 inç,GDDR6,6 GB,Harici,Belirtilmemiş,,2 Yıl,,DDR5,512.0,,,2560 x 1600,,6,Free Dos
9059.0,Intel UHD Graphics 600,Intel Celeron,Belirtilmemiş,N4020,8.0,14 inç,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,2,Windows
9499.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
18264.0,Intel UHD Graphics 620,Intel Core i5,10. Nesil,10210U,8.0,14 inç,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.2,DDR4,512.0,,1.6,1920 x 1080,,4,Windows
24999.0,AMD Radeon R3,AMD Ryzen 7,5. Nesil,7700X,16.0,16 inç,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR4X,512.0,,,1920 x 1200,,1,Windows
9999.0,Nvidia GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
11699.0,AMD Radeon Graphics,AMD Ryzen 5,5. Nesil,5500U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,6,Windows
28199.0,Nvidia GeForce RTX 4050,AMD Ryzen 5,7. Nesil,7535HS,8.0,16 inç,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,4.5,DDR5,512.0,,,1920 x 1200,,6,Free Dos
34699.0,Intel Iris Graphics,Intel Core i7,12. Nesil,1255U,16.0,"12,4 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,LPDDR4X,512.0,,,2560 x 1600,,10,Windows
10319.0,Nvidia GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
38999.0,Nvidia GeForce RTX 4050,Intel Core i7,12. Nesil,12650H,16.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,10,Free Dos
100647.0,AMD Radeon R5 230,Intel Core i5,2. Nesil,2400,16.0,18 - 21 inç,DDR4,2 GB,Harici,60 Hz,,2 Yıl,,DDR3,128.0,,3.4,1366 x 768,2.50 GHz - 3.00 GHz,8,Windows
23799.0,Nvidia GeForce RTX3060,AMD Ryzen 5,5. Nesil,Ryzen 5 5500,16.0,"24"" / 61 Ekran",GDDR6,12 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
21299.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,10. Nesil,10400F,16.0,"24"" / 61 Ekran",GDDR6,6 GB,Harici,,,2 Yıl,,DDR4,512.0,,,1920 x 1080,3.00 GHz üstü,6,Free Dos
67875.0,M2 Pro 19 Çekirdekli,Apple M2 Pro,13. Nesil,Belirtilmemiş,16.0,14 inç,GDDR6X,Paylaşımlı,Dahili,120 Hz,,2 Yıl,5.0,DDR5,512.0,Gen 4,Belirtilmemiş,3024 x 1964,,12,Mac Os
31999.0,Nvidia GeForce RTX 3050,Intel Core i7,11. Nesil,11390H,16.0,"15,6 inç",GDDR6,4 GB,Harici,165 Hz,,2 Yıl,,DDR6,512.0,,,1920 x 1080,,4,Free Dos
6199.0,Nvıdıa GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,,DDR3,4 GB,Harici,,,2 Yıl,,,240.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
23999.0,Intel Iris Graphics,Intel Core i5,12. Nesil,1235U,8.0,14 inç,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR4X,512.0,,,1920 x 1200,,10,Windows
29999.0,AMD Radeon RX 6800M,AMD Ryzen 7,7. Nesil,7730U,16.0,14 inç,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,512.0,,,1920 x 1200,,8,Windows
128499.0,AMD Radeon RX 5500 XT,Intel Core i3,10. Nesil,10100F,16.0,,DDR4,,Harici,,,2 Yıl,,DDR4,512.0,,,,,4,Windows
42999.0,M2 10 Çekirdekli,Apple M2,2. Nesil,Belirtilmemiş,8.0,15 inç,DDR5,8 GB,Dahili,120 Hz,,2 Yıl,,LPDDR5,256.0,,,2880 x 1620,,8,Mac Os
7499.0,Intel UHD Graphics 600,Intel Celeron,4. Nesil,N4020,4.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,2.8,DDR4,128.0,,1.1,1920 x 1080,,2,Windows
25649.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12500H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,12,Free Dos
14899.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,10. Nesil,10400F,32.0,,GDDR5,4 GB,Harici,,,2 Yıl,,DDR4,512.0,,,1920 x 1080,3.00 GHz üstü,6,Free Dos
16500.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1135G7,16.0,14 inç,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,5,Free Dos
15499.0,Intel UHD Graphics,Intel Core i5,Belirtilmemiş,1135G7,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,Belirtilmemiş,512.0,,,1920 x 1080,,Belirtilmemiş,Windows
12499.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,,,DDR4,512.0,,1.0,1920 x 1080,,4,Free Dos
6941.0,AMD Radeon RX 550,Intel Core i5,4. Nesil,4570,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,,3.00 GHz üstü,4,Free Dos
24999.0,Nvidia GeForce RTX 3050 Ti,AMD Ryzen 5,6. Nesil,6600H,8.0,"16,1 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,6,Free Dos
9252.0,Intel HD Graphics 4400,Intel Core i5,3. Nesil,Belirtilmemiş,16.0,"19"" / 48 Ekran",Belirtilmemiş,,Dahili,,,2 Yıl,,,120.0,,,,,16,Windows
14680.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1155G7,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
10399.0,AMD Radeon Graphics,AMD Ryzen 5,7. Nesil,7520U,8.0,"15,6 inç",SD,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,256.0,,,1920 x 1080,,4,Free Dos
105999.0,Paylaşımlı,Intel Core i3,11. Nesil,1115G4,8.0,"15,6 inç",DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.1,DDR4,512.0,,3,1920 x 1080,,2,Free Dos
18499.0,Intel UHD Graphics,Intel Core i7,12. Nesil,1255U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,1.7,1920 x 1080,,10,Free Dos
9499.0,Intel UHD Graphics,Intel Core i3,12. Nesil,1215U,4.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,6,Free Dos
9252.0,Intel HD Graphics 4400,Intel Core i5,3. Nesil,Belirtilmemiş,16.0,"19"" / 48 Ekran",Belirtilmemiş,,Dahili,,,2 Yıl,,,120.0,,,,,16,Windows
122741.0,AMD Radeon RX 580,Intel Core i5,4. Nesil,4570,16.0,"24"" / 61 Ekran",DDR5,8 GB,Harici,100 Hz,,2 Yıl,,DDR3,256.0,,3.3,1920 x 1080,3.00 GHz üstü,4,Free Dos
15299.0,Intel UHD Graphics,Intel Core i5,12. Nesil,12450H,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.4,LPDDR5,512.0,,3.3,1920 x 1080,,8,Free Dos
12299.0,Dahili Ekran Kartı,AMD Ryzen 5,5. Nesil,5500U,16.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,500.0,,,1920 x 1080,,6,Free Dos
24000.0,Nvidia GeForce GTX 1650,Intel Core i5,Belirtilmemiş,i5-11320H,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,Belirtilmemiş,256.0,,,1920 x 1080,,Belirtilmemiş,Windows
28389.0,Nvidia GeForce RTX 4050,AMD Ryzen 5,7. Nesil,Belirtilmemiş,16.0,"15,6 inç",GDDR6,6 GB,Harici,120 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,6,Free Dos
7999.0,Nvidia GeForce MX450,MediaTek P60T,5. Nesil,4800HS,36.0,18 inç,Dahili,2 GB,Harici,90 Hz,,2 Yıl,,LPDDR3,32.0,,,4480 x 2520,,10,Windows
5749.0,Nvidia Geforce GT 740,Intel Core i5,4. Nesil,4570,16.0,,DDR3,4 GB,Harici,,,2 Yıl,,DDR3,256.0,,3.2,,3.00 GHz üstü,4,Free Dos
28999.0,Nvidia GeForce RTX 3050,Intel Core i5,11. Nesil,11400H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
9450.0,Intel UHD Graphics,Intel Core i3,11. Nesil,1115G4,4.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,3,1920 x 1080,,2,Free Dos
20399.0,Nvidia GeForce GTX 1650,Intel Core i5,10. Nesil,10400F,32.0,"24"" / 61 Ekran",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,3.00 GHz üstü,6,Free Dos
14799.0,Dahili Ekran Kartı,Intel Core i5,12. Nesil,1235U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.4,DDR4,500.0,Gen 3,,1920 x 1080,,10,Free Dos
26849.0,Nvidia GeForce RTX 3050,AMD Ryzen 5,3. Nesil,3600,32.0,25 + inç,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,3.00 GHz üstü,6,Free Dos
104953.0,Nvidia Geforce GT 740,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,256.0,,3.6,1920 x 1080,3.00 GHz üstü,4,Free Dos
6999.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
13999.0,AMD Radeon Graphics,AMD Ryzen 5,4. Nesil,4600H,16.0,14 inç,GDDR6,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.0,DDR4,512.0,,3,1920 x 1080,,6,Free Dos
8392.0,Nvidia GT730,Intel Core i5,3. Nesil,3470,16.0,18 - 21 inç,DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,512.0,,3.2,1600 x 900,3.00 GHz üstü,4,Free Dos
20299.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12400F,16.0,6 inç ve üstü,GDDR6,8 GB,Harici,,,2 Yıl,,DDR4,512.0,,2.5,1920 x 1080,2.50 GHz - 3.00 GHz,6,Free Dos
11666.0,Dahili Ekran Kartı,AMD E,,3020e,4.0,"15,6 inç",SD,Paylaşımlı,Dahili,,,,,,256.0,,,1920 x 1080,,2,Free Dos
8350.0,Intel HD Graphics,Intel Core i3,3. Nesil,Belirtilmemiş,4.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR5,128.0,,,1920 x 1080,,8,Windows
15949.0,AMD Radeon RX 550,AMD Ryzen 5,3. Nesil,3600,32.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,,,2 Yıl,,DDR4,128.0,,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
31999.0,Nvidia GeForce RTX 3050,AMD Ryzen 7,6. Nesil,6800HS,16.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,4.7,DDR5,512.0,,3.2,1920 x 1080,,8,Free Dos
6999.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
12499.0,Intel UHD Graphics,Intel Core i3,3. Nesil,N305,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,8,Free Dos
514052.0,Nvidia GeForce RTX 4060,Intel Core i7,13. Nesil,13650HX,16.0,16 inç,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1200,,8,Free Dos
